Temperature (K)	Pressure (atm)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (F/atm)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
298.00	2625.0	26.991	0.037049	6.0564	15.911	31.235	34.544	46.688	1954.0	-0.10383	undefined	undefined	supercritical
298.00	2640.0	27.024	0.037004	6.0528	15.951	31.182	34.564	46.688	1958.5	-0.10385	undefined	undefined	supercritical
298.00	2655.0	27.058	0.036958	6.0492	15.992	31.129	34.584	46.687	1963.0	-0.10386	undefined	undefined	supercritical
298.00	2670.0	27.091	0.036913	6.0457	16.032	31.076	34.603	46.687	1967.5	-0.10387	undefined	undefined	supercritical
298.00	2685.0	27.124	0.036868	6.0422	16.072	31.023	34.623	46.686	1972.0	-0.10388	undefined	undefined	supercritical
298.00	2700.0	27.157	0.036824	6.0387	16.113	30.971	34.642	46.686	1976.4	-0.10389	undefined	undefined	supercritical
298.00	2715.0	27.189	0.036779	6.0353	16.153	30.919	34.661	46.685	1980.9	-0.10390	undefined	undefined	supercritical
298.00	2730.0	27.222	0.036736	6.0320	16.194	30.867	34.680	46.685	1985.3	-0.10391	undefined	undefined	supercritical
298.00	2745.0	27.254	0.036692	6.0286	16.234	30.816	34.700	46.685	1989.7	-0.10392	undefined	undefined	supercritical
298.00	2760.0	27.286	0.036649	6.0254	16.274	30.764	34.719	46.685	1994.1	-0.10392	undefined	undefined	supercritical
298.00	2775.0	27.318	0.036606	6.0222	16.315	30.713	34.738	46.685	1998.5	-0.10393	undefined	undefined	supercritical
298.00	2790.0	27.350	0.036563	6.0190	16.355	30.662	34.757	46.685	2002.8	-0.10393	undefined	undefined	supercritical
298.00	2805.0	27.381	0.036521	6.0159	16.396	30.612	34.776	46.685	2007.1	-0.10394	undefined	undefined	supercritical
298.00	2820.0	27.413	0.036479	6.0128	16.436	30.561	34.795	46.685	2011.5	-0.10394	undefined	undefined	supercritical
298.00	2835.0	27.444	0.036438	6.0098	16.477	30.511	34.813	46.686	2015.8	-0.10395	undefined	undefined	supercritical
298.00	2850.0	27.475	0.036396	6.0068	16.517	30.461	34.832	46.686	2020.1	-0.10395	undefined	undefined	supercritical
298.00	2865.0	27.506	0.036355	6.0038	16.558	30.411	34.851	46.686	2024.3	-0.10395	undefined	undefined	supercritical
298.00	2880.0	27.537	0.036314	6.0009	16.598	30.361	34.869	46.687	2028.6	-0.10395	undefined	undefined	supercritical
298.00	2895.0	27.568	0.036274	5.9980	16.638	30.312	34.888	46.687	2032.8	-0.10395	undefined	undefined	supercritical
298.00	2910.0	27.599	0.036234	5.9952	16.679	30.263	34.906	46.688	2037.0	-0.10395	undefined	undefined	supercritical
298.00	2925.0	27.629	0.036194	5.9924	16.719	30.214	34.925	46.689	2041.2	-0.10395	undefined	undefined	supercritical
298.00	2940.0	27.660	0.036154	5.9897	16.760	30.165	34.943	46.689	2045.4	-0.10395	undefined	undefined	supercritical
